Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
APPLING-1B,36,41,0,538,590,1,1,4,0,8,5,0,1,0,0,4,2,0,15,12,0,1258,129,102,1129,8.11
APPLING-1C,8,14,0,369,395,0,0,0,0,7,3,0,0,0,0,1,1,0,6,11,0,815,51,34,764,4.17
APPLING-2,624,818,0,314,407,0,5,2,0,28,19,0,3,0,0,9,10,0,32,19,0,2290,1569,1518,721,66.29
APPLING-3A,0,1,0,141,154,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,301,6,3,295,1
APPLING-3A1,8,6,0,219,230,0,0,0,0,0,1,0,0,0,0,0,1,0,8,9,0,482,33,16,449,3.32
APPLING-3B,74,92,0,75,82,0,0,0,0,0,2,0,0,0,0,0,1,0,3,2,0,331,174,169,157,51.06
APPLING-3C,84,119,0,483,590,0,9,7,0,7,18,0,0,0,0,2,4,0,14,15,0,1352,279,250,1073,18.49
APPLING-4A,4,6,0,177,180,0,1,0,0,0,2,0,0,0,0,1,1,0,10,6,0,388,31,15,357,3.87
APPLING-4B,1,1,0,184,224,0,0,0,0,0,0,0,1,0,0,1,0,0,5,5,0,422,14,4,408,0.95
APPLING-4C,2,0,0,182,207,0,0,0,0,0,1,0,0,0,0,2,1,0,7,7,0,409,20,6,389,1.47
APPLING-4D,22,31,0,432,481,0,5,5,0,10,13,0,0,0,0,1,1,0,21,9,0,1031,118,88,913,8.54
APPLING-5A,38,54,0,417,489,0,0,2,0,7,18,0,0,0,0,3,3,0,15,20,0,1066,160,125,906,11.73
APPLING-5B,47,63,0,247,300,0,3,0,0,4,4,0,1,0,0,1,2,0,12,5,0,689,142,125,547,18.14
APPLING-5C,4,1,0,177,183,0,0,2,0,3,3,0,0,0,0,0,0,0,2,6,0,381,21,13,360,3.41
APPLING-88888,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,100
APPLING-Total,954,1247,0,3955,4512,1,24,22,0,75,90,0,6,0,0,25,27,0,151,128,0,11217,2749,2470,8468,22.02
ATKINSON-PEARSON COUNTY,45,51,1,681,742,0,1,0,0,22,41,0,0,2,0,5,1,0,9,20,0,1621,198,169,1423,10.43
ATKINSON-AXSON,10,16,0,282,313,0,0,0,0,8,9,0,0,0,0,2,0,0,8,11,0,659,64,45,595,6.83
ATKINSON-WILLACOOCHEE,162,191,0,356,444,0,0,0,0,25,26,0,0,1,0,1,0,0,7,4,2,1219,419,406,800,33.31
ATKINSON-PEARSON CITY,176,269,0,152,214,0,1,0,0,33,53,1,1,1,0,1,3,0,12,6,0,923,557,539,366,58.4
ATKINSON-88888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,100
ATKINSON-99999,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,6,25
ATKINSON-Total,396,527,1,1472,1718,0,2,0,0,88,129,1,1,4,0,9,4,0,36,41,2,4431,1241,1162,3190,26.22
BACON-99999,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,66.67
BACON-DOUGLAS,303,514,1,1082,1378,0,8,8,0,24,23,0,1,0,0,8,8,0,92,87,1,3538,1078,898,2460,25.38
BACON-NEW LACY,29,41,0,467,505,0,0,0,0,2,2,0,0,0,0,0,1,0,26,26,0,1099,127,75,972,6.82
BACON-TAYLOR,4,4,0,384,390,0,1,0,0,4,5,0,1,0,0,1,2,0,9,8,0,813,39,22,774,2.71
BACON-WARE,3,3,0,236,232,1,0,0,0,4,3,0,1,0,0,0,3,0,10,19,0,515,46,17,469,3.3
BACON-WARNOCK,4,2,0,155,164,1,1,1,0,0,2,0,0,0,0,0,0,0,12,5,0,347,27,10,320,2.88
BACON-Total,343,566,1,2325,2669,2,10,9,0,34,35,0,3,0,0,9,14,0,149,145,1,6315,1319,1024,4996,16.22
BAKER-88888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
BAKER-ANNA,17,22,0,60,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,160,42,39,118,24.38
BAKER-ELMODEL,99,120,0,86,90,0,0,0,0,1,2,0,0,0,0,1,0,0,1,5,0,405,229,223,176,55.06
BAKER-HOGGARDS MILL,76,100,0,80,72,0,0,0,0,0,3,0,0,0,0,2,2,0,4,2,0,341,189,183,152,53.67
BAKER-MILFORD,47,57,0,71,86,0,2,5,0,0,0,0,0,0,0,0,0,0,1,3,0,272,115,111,157,40.81
BAKER-NEWTON,186,258,0,250,292,0,2,1,0,2,7,0,0,1,0,0,3,0,10,3,0,1015,473,460,542,45.32
BAKER-Total,425,557,0,547,599,0,4,6,0,3,12,0,0,1,0,3,5,0,16,16,0,2194,1048,1016,1146,46.31
BALDWIN-SCOTTSBORO,122,169,0,311,348,1,3,3,0,1,1,0,1,0,0,2,2,0,7,12,0,983,323,304,660,30.93
BALDWIN-NORTH BALDWIN,205,289,0,1148,1358,0,26,27,0,6,22,0,0,1,0,6,7,0,57,40,0,3192,686,589,2506,18.45
BALDWIN-WEST BALDWIN,311,384,0,452,489,0,1,3,0,1,2,0,0,2,0,3,3,0,27,14,0,1692,751,710,941,41.96
BALDWIN-EAST HARDWICK,393,542,2,108,127,0,2,2,0,3,1,0,0,0,0,6,5,0,17,15,1,1224,989,956,235,78.1
BALDWIN-WEST HARDWICK,773,1163,0,314,434,0,2,1,0,6,3,0,1,3,0,3,4,0,41,34,0,2782,2034,1959,748,70.42
BALDWIN-COOPERS,148,168,0,487,558,0,1,3,0,3,2,0,0,0,0,2,2,0,22,17,0,1413,368,329,1045,23.28
BALDWIN-88888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,100
BALDWIN-99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,50
BALDWIN-SOUTH MILLEDGEVILLE,282,470,0,181,231,1,8,5,0,6,9,0,1,1,0,2,1,0,17,16,0,1231,818,785,413,63.77
BALDWIN-CITY HALL ANNEX,218,252,0,252,231,0,6,6,0,1,4,0,1,0,0,3,3,0,22,12,0,1011,528,494,483,48.86
BALDWIN-BODDIE,296,602,1,170,202,0,2,1,0,1,4,0,1,0,0,3,9,0,21,23,1,1337,965,920,372,68.81
BALDWIN-COURTHOUSE,36,77,0,176,246,0,3,4,0,5,14,0,1,0,0,0,3,0,7,13,0,585,163,143,422,24.44
BALDWIN-FIRE DEPT,333,508,0,275,311,2,11,14,0,6,10,0,0,1,0,3,6,0,21,31,0,1532,944,892,588,58.22
BALDWIN-NORTH MILLEDGEVILLE,217,382,0,626,744,2,11,16,0,9,9,0,3,0,0,3,7,0,24,23,0,2076,704,657,1372,31.65
BALDWIN-MERIWEATHER,288,328,0,828,918,0,8,9,0,10,13,0,1,1,0,12,11,0,38,43,0,2508,762,681,1746,27.15
BALDWIN-EAST BALDWIN,536,694,0,981,1099,0,3,3,0,7,7,0,1,3,0,5,9,0,53,36,1,3438,1358,1268,2080,36.88
BALDWIN-Total,4160,6028,3,6309,7296,6,87,97,0,65,101,0,11,12,0,53,72,0,375,329,3,25007,11396,10689,13611,42.74
BANKS-ANDERSON,12,10,0,547,602,0,2,6,0,12,8,0,0,0,0,2,1,0,26,24,1,1253,104,53,1149,4.23
BANKS-BALDWIN,5,1,0,329,361,0,6,2,0,8,5,0,0,0,0,1,2,0,20,12,0,752,62,30,690,3.99
BANKS-BERLIN,2,2,0,132,160,0,3,2,0,1,1,0,1,0,0,1,0,0,6,3,0,314,22,13,292,4.14
