Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
APPLING-Total,954,1247,0,3955,4512,1,24,22,0,75,90,0,6,0,0,25,27,0,151,128,0,11217,2749,2470,8468,22.02
ATKINSON-Total,396,527,1,1472,1718,0,2,0,0,88,129,1,1,4,0,9,4,0,36,41,2,4431,1241,1162,3190,26.22
BACON-Total,343,566,1,2325,2669,2,10,9,0,34,35,0,3,0,0,9,14,0,149,145,1,6315,1319,1024,4996,16.22
BAKER-Total,425,557,0,547,599,0,4,6,0,3,12,0,0,1,0,3,5,0,16,16,0,2194,1048,1016,1146,46.31
BALDWIN-Total,4160,6028,3,6309,7296,6,87,97,0,65,101,0,11,12,0,53,72,0,375,329,3,25007,11396,10689,13611,42.74
BANKS-Total,111,84,0,4503,4881,3,39,44,0,89,68,0,2,6,0,20,20,0,259,209,5,10343,956,483,9387,4.67
BARROW-Total,2135,2822,7,15857,18095,34,378,463,1,707,832,5,11,14,0,167,170,1,1939,1791,24,45453,11467,7713,33986,16.97
BARTOW-Total,2698,3521,3,23762,26562,22,164,173,1,665,677,1,25,30,0,208,210,0,3353,3127,22,65224,14878,8376,50346,12.84
BEN HILL-Total,1299,2103,0,2721,3191,1,20,23,0,56,70,0,0,1,0,11,17,0,105,110,1,9729,3816,3600,5913,37
BERRIEN-Total,481,634,0,4298,4874,4,20,14,0,52,69,0,4,7,0,29,20,0,219,196,3,10924,1748,1330,9176,12.18
BIBB-Total,21270,30703,30,19483,23105,20,490,464,3,298,461,4,35,38,0,342,431,1,2132,1982,67,101359,58751,54570,42608,53.84
BLECKLEY-Total,547,872,1,2570,2851,3,23,15,0,12,22,0,1,2,0,9,13,0,100,103,2,7146,1722,1517,5424,21.23
BRANTLEY-Total,111,169,0,4504,5059,1,5,10,0,22,24,0,6,4,0,15,19,0,227,185,2,10363,799,385,9564,3.72
BROOKS-Total,1584,2158,0,2708,3089,2,9,14,0,45,67,0,6,3,0,31,31,0,291,266,0,10304,4505,3948,5799,38.32
BRYAN-Total,1468,1975,4,8768,10116,9,128,173,0,272,348,1,25,17,0,117,155,1,1197,1174,11,25959,7066,4684,18893,18.04
BULLOCH-Total,4827,6743,8,13342,14679,14,153,148,0,225,247,1,5,8,0,150,173,0,1681,1671,12,44087,16052,12688,28035,28.78
BURKE-Total,2984,4102,2,3402,3662,6,15,28,0,43,34,0,8,4,0,28,38,0,350,304,2,15012,7942,7286,7070,48.53
BUTTS-Total,1432,1853,4,4699,5211,5,11,25,0,54,56,0,7,5,0,52,47,0,594,551,6,14612,4697,3546,9915,24.27
CALHOUN-Total,763,1082,2,552,628,1,6,9,0,8,7,0,0,0,0,0,2,0,22,10,5,3097,1916,1879,1181,60.67
CAMDEN-Total,2553,3456,1,10192,12155,9,120,203,0,296,413,0,20,22,0,186,264,0,2566,2696,7,35159,12803,7534,22356,21.43
CANDLER-Total,566,753,0,1825,2134,2,11,12,0,49,69,0,0,1,0,12,14,0,188,150,1,5787,1826,1487,3961,25.7
CARROLL-Total,5129,7179,9,23484,26845,33,155,189,0,471,554,0,15,30,0,265,366,4,3190,3222,29,71169,20807,14366,50362,20.19
CATOOSA-Total,388,469,2,17388,20738,35,117,140,0,145,197,0,14,15,0,115,127,0,2396,2372,13,44671,6510,1729,38161,3.87
CHARLTON-Total,561,751,0,2027,2323,3,17,9,0,7,11,0,4,2,0,8,22,0,329,270,0,6344,1991,1392,4353,21.94
CHATHAM-Total,32281,42837,53,47222,54166,59,1061,1217,6,1691,2161,7,117,85,0,1086,1400,5,6275,6416,212,198357,96910,84007,101447,42.35
CHATTAHOOCHEE-Total,509,644,1,1196,1282,0,33,40,0,126,114,0,1,5,0,46,41,0,184,147,0,4369,1891,1560,2478,35.71
CHATTOOGA-Total,456,574,0,5277,6285,1,15,25,0,60,41,0,3,3,0,30,27,0,510,518,1,13826,2263,1234,11563,8.93
CHEROKEE-Total,3916,5029,3,63291,70527,47,744,970,2,2226,2681,3,63,63,0,823,875,5,7030,6657,59,165014,31149,17403,133865,10.55
CLARKE-Total,7639,11548,15,20979,23858,73,667,905,7,913,1121,8,18,27,0,465,572,3,4475,4482,98,77873,32963,23908,44910,30.7
CLAY-Total,412,655,0,388,416,0,2,2,0,2,2,0,0,0,0,2,4,0,16,13,0,1914,1110,1081,804,56.48
CLAYTON-Total,52631,73586,117,9969,11913,13,2169,2124,21,2286,2736,11,66,91,1,1083,1526,14,7133,7653,228,175371,153476,138462,21895,78.95
CLINCH-Total,482,717,2,1277,1473,1,3,7,0,10,11,0,0,0,0,4,7,0,128,91,3,4216,1465,1243,2751,29.48
COBB-Total,55850,78573,137,142445,156981,240,6246,7093,25,8788,11147,41,287,312,0,4158,5474,32,15540,15036,383,508788,209122,178163,299666,35.02
COFFEE-Total,2716,3757,3,7286,8456,6,55,62,0,301,291,0,8,10,0,63,61,0,199,190,11,23475,7727,7327,15748,31.21
COLQUITT-Total,2374,3220,1,7393,8612,4,45,50,0,355,393,0,7,10,0,53,88,0,545,531,16,23697,7688,6596,16009,27.83
COLUMBIA-Total,6507,8360,26,33475,37624,49,1121,1387,8,997,1254,2,53,65,0,621,842,3,4786,4702,58,101940,30792,21246,71148,20.84
COOK-Total,1033,1559,0,3093,3508,1,20,22,0,44,67,0,3,3,0,23,33,0,177,128,0,9714,3112,2807,6602,28.9
COWETA-Total,6066,8531,21,32237,35821,56,357,486,2,889,1131,7,17,15,0,344,370,3,4282,4419,47,95101,26987,18239,68114,19.18
CRAWFORD-Total,731,935,1,2770,3017,0,8,9,0,19,18,0,3,0,0,17,18,0,193,128,2,7869,2082,1759,5787,22.35
CRISP-Total,2111,3250,2,3179,3784,1,34,46,0,32,40,0,3,1,0,26,19,0,136,118,4,12786,5822,5564,6964,43.52
DADE-Total,29,35,0,4766,5252,4,21,22,0,25,32,1,3,5,0,18,16,2,520,460,0,11211,1189,209,10022,1.86
DAWSON-Total,47,25,0,7299,7998,4,24,42,0,75,87,1,10,3,0,39,27,0,531,503,13,16728,1427,380,15301,2.27
DECATUR-Total,2597,3947,3,4511,5339,2,23,36,0,93,114,0,1,9,0,30,51,0,330,242,8,17336,7484,6904,9852,39.82
DEKALB-Total,119730,161074,41,80407,91155,7,5784,6599,8,4347,5361,5,241,285,1,3770,5103,1,22041,22001,159,528120,356551,312350,171569,59.14
DODGE-Total,1131,1710,0,3754,4150,3,15,19,0,24,31,0,2,3,0,12,12,0,156,148,1,11171,3264,2959,7907,26.49
DOOLY-Total,1248,1752,1,1380,1511,0,17,14,0,39,54,0,0,1,0,11,13,0,71,72,1,6185,3294,3150,2891,50.93
DOUGHERTY-Total,17276,24456,466,8522,10060,29,139,147,1,182,224,4,14,21,0,173,199,6,1086,1031,153,64189,45578,43308,18611,67.47
DOUGLAS-Total,16033,22720,37,19250,22008,24,358,437,2,989,1327,3,29,35,0,494,729,2,3999,4263,63,92802,51520,43195,41282,46.55
EARLY-Total,1496,2212,3,1808,2009,0,9,8,0,12,14,0,3,1,0,5,11,1,65,61,0,7718,3901,3775,3817,48.91
ECHOLS-Total,42,60,0,733,842,1,1,3,0,44,61,0,3,1,0,7,10,0,67,40,0,1915,339,232,1576,12.11
EFFINGHAM-Total,1918,2539,3,13849,15075,32,74,115,0,191,239,0,16,15,0,65,107,0,1802,1647,13,37700,8744,5282,28956,14.01
ELBERT-Total,1493,2040,1,3870,4411,0,21,22,0,54,54,0,0,4,0,18,19,0,209,165,2,12383,4102,3726,8281,30.09
EMANUEL-Total,1655,2583,2,3720,4327,2,17,18,0,45,47,0,3,5,0,26,25,0,264,232,2,12973,4924,4426,8049,34.12
EVANS-Total,626,976,0,1669,1962,0,13,11,0,44,51,0,2,4,0,9,16,0,123,122,1,5629,1998,1752,3631,31.12
